Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,LEAF1A,Ethernet1,l3spine,SPINE1,Ethernet1,True
leaf,LEAF1A,Ethernet6,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet7,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet8,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet9,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet10,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet11,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet12,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet13,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet14,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet15,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet16,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet17,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet18,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet19,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet20,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet21,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet22,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet23,mlag_peer,LEAF1B,Ethernet23,True
leaf,LEAF1A,Ethernet24,mlag_peer,LEAF1B,Ethernet24,True
leaf,LEAF1B,Ethernet1,l3spine,SPINE2,Ethernet1,True
leaf,LEAF1B,Ethernet6,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet7,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet8,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet9,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet10,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet11,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet12,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet13,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet14,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet15,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet16,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet17,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet18,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet19,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet20,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet21,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet22,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet23,mlag_peer,LEAF1A,Ethernet23,True
leaf,LEAF1B,Ethernet24,mlag_peer,LEAF1A,Ethernet24,True
leaf,LEAF2A,Ethernet1,l3spine,SPINE1,Ethernet2,True
leaf,LEAF2A,Ethernet2,l3spine,SPINE2,Ethernet2,True
leaf,LEAF2A,Ethernet6,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet7,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet8,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet9,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet10,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet11,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet12,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet13,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet14,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet15,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet16,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet17,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet18,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet19,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet20,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet21,network_port,IDF2 Standard Port,,True
leaf,LEAF2A,Ethernet22,network_port,IDF2 Standard Port,,True
leaf,LEAF3A,Ethernet1,l3spine,SPINE1,Ethernet3,True
leaf,LEAF3A,Ethernet2,l3spine,SPINE2,Ethernet3,True
leaf,LEAF3A,Ethernet3,leaf,LEAF3C,Ethernet1,True
leaf,LEAF3A,Ethernet4,leaf,LEAF3D,Ethernet1,True
leaf,LEAF3A,Ethernet5,leaf,LEAF3E,Ethernet1,True
leaf,LEAF3A,Ethernet6,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet7,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet8,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet9,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet10,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet11,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet12,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet13,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet14,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet15,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet16,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet17,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet18,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet19,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet20,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet21,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet22,network_port,IDF3 Standard Port,,True
leaf,LEAF3A,Ethernet23,mlag_peer,LEAF3B,Ethernet23,True
leaf,LEAF3A,Ethernet24,mlag_peer,LEAF3B,Ethernet24,True
leaf,LEAF3B,Ethernet1,l3spine,SPINE1,Ethernet4,True
leaf,LEAF3B,Ethernet2,l3spine,SPINE2,Ethernet4,True
leaf,LEAF3B,Ethernet3,leaf,LEAF3C,Ethernet2,True
leaf,LEAF3B,Ethernet4,leaf,LEAF3D,Ethernet2,True
leaf,LEAF3B,Ethernet5,leaf,LEAF3E,Ethernet2,True
leaf,LEAF3B,Ethernet6,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet7,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet8,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet9,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet10,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet11,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet12,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet13,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet14,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet15,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet16,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet17,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet18,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet19,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet20,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet21,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet22,network_port,IDF3 Standard Port,,True
leaf,LEAF3B,Ethernet23,mlag_peer,LEAF3A,Ethernet23,True
leaf,LEAF3B,Ethernet24,mlag_peer,LEAF3A,Ethernet24,True
leaf,LEAF3C,Ethernet1,leaf,LEAF3A,Ethernet3,True
leaf,LEAF3C,Ethernet2,leaf,LEAF3B,Ethernet3,True
leaf,LEAF3C,Ethernet6,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet7,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet8,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet9,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet10,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet11,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet12,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet13,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet14,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet15,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet16,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet17,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet18,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet19,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet20,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet21,network_port,IDF3 Standard Port,,True
leaf,LEAF3C,Ethernet22,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet1,leaf,LEAF3A,Ethernet4,True
leaf,LEAF3D,Ethernet2,leaf,LEAF3B,Ethernet4,True
leaf,LEAF3D,Ethernet6,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet7,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet8,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet9,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet10,network_port,IDF3 Standard Port,,True
