Interface                      Status         Protocol           Description
Et1                            up             up                 P2P_LINK_TO_DC1_SPINE1_Ethernet3
Et2                            up             up                 P2P_LINK_TO_DC1_SPINE2_Ethernet3
Et3                            up             up                 server03_Eth1
Et4                            up             up                 server03_Eth2
Et5                            up             up                 server04_Eth1
Et6                            up             up                 server04_Eth2
Lo0                            up             up                 EVPN_Overlay_Peering
Lo1                            up             up                 VTEP_VXLAN_Tunnel_Source
Ma0                            up             up                 oob_management
Po3                            up             up                 server03_PortChannel3
Po5                            up             up                 server04_PortChannel6
Vx1                            up             up                 DC1_LEAF2A_VTEP
