Interface                      Status         Protocol           Description
Et1                            up             up                 P2P_LINK_TO_DC1_SPINE1_Ethernet4
Et2                            up             up                 P2P_LINK_TO_DC1_SPINE2_Ethernet4
Et3                            up             up                 MLAG_PEER_DC1_SVC1B_Ethernet3
Et4                            up             up                 MLAG_PEER_DC1_SVC1B_Ethernet4
Lo0                            up             up                 EVPN_Overlay_Peering
Lo1                            up             up                 VTEP_VXLAN_Tunnel_Source
Ma0                            up             up                 oob_management
Po3                            up             up                 MLAG_PEER_DC1_SVC1B_Po3
Vl110                          up             up                 Tenant_A_OP_Zone_1
Vl111                          up             up                 Tenant_A_OP_Zone_2
Vl4093                         up             up                 MLAG_PEER_L3_PEERING
Vl4094                         up             up                 MLAG_PEER
Vx1                            up             up                 DC1_SVC1A_VTEP
