Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,DC1_PE11,Ethernet1,spine,DC1_SPINE1,Ethernet1,True
l3leaf,DC1_PE11,Ethernet2,spine,DC1_SPINE2,Ethernet1,True
l3leaf,DC1_PE11,Ethernet3,server,server01,Eth1,True
l3leaf,DC1_PE11,Ethernet4,server,server02,Eth1,True
l3leaf,DC1_PE12,Ethernet1,spine,DC1_SPINE1,Ethernet2,True
l3leaf,DC1_PE12,Ethernet2,spine,DC1_SPINE2,Ethernet2,True
l3leaf,DC1_PE12,Ethernet3,server,server01,Eth2,True
l3leaf,DC1_PE12,Ethernet4,server,server02,Eth2,True
l3leaf,DC1_PE21,Ethernet1,spine,DC1_SPINE1,Ethernet3,True
l3leaf,DC1_PE21,Ethernet2,spine,DC1_SPINE2,Ethernet3,True
l3leaf,DC1_PE21,Ethernet3,server,server03,Eth1,True
l3leaf,DC1_PE21,Ethernet4,server,server04,Eth1,True
l3leaf,DC1_PE22,Ethernet1,spine,DC1_SPINE1,Ethernet4,True
l3leaf,DC1_PE22,Ethernet2,spine,DC1_SPINE2,Ethernet4,True
l3leaf,DC1_PE22,Ethernet3,server,server03,Eth2,True
l3leaf,DC1_PE22,Ethernet4,server,server04,Eth2,True
spine,DC1_SPINE1,Ethernet1,l3leaf,DC1_PE11,Ethernet1,True
spine,DC1_SPINE1,Ethernet2,l3leaf,DC1_PE12,Ethernet1,True
spine,DC1_SPINE1,Ethernet3,l3leaf,DC1_PE21,Ethernet1,True
spine,DC1_SPINE1,Ethernet4,l3leaf,DC1_PE22,Ethernet1,True
spine,DC1_SPINE2,Ethernet1,l3leaf,DC1_PE11,Ethernet2,True
spine,DC1_SPINE2,Ethernet2,l3leaf,DC1_PE12,Ethernet2,True
spine,DC1_SPINE2,Ethernet3,l3leaf,DC1_PE21,Ethernet2,True
spine,DC1_SPINE2,Ethernet4,l3leaf,DC1_PE22,Ethernet2,True
